eventId,post_id,label,Pattern,type,Unnamed: 5,Templates,,
12,37686139,1,1,TPL-TPL,,"File <stdin>, line 1, in <module> [CODE][SEP]File <*>python2.7/site-packages/tflearn/__init__.py, line 22, in <module> from . import activations[SEP]File <*>python2.7/site-packages/tflearn/activations.py, line 7, in <module> from . import initializations[SEP]File <*>python2.7/site-packages/tflearn/initializations.py, line 5, in <module> from tensorflow.contrib.layers.python.layers.initializers import \[SEP]ImportError: cannot import name variance_scaling_initializer",,
13,38446771,1,1,TPL-TPL,,"File <stdin>, line 1, in <module> [CODE][SEP]File <*>python2.7/dist-packages/theano/__init__.py, line 74, in <module> from theano.printing import pprint, pp[SEP]File <*>python2.7/dist-packages/theano/printing.py, line 35, in <module> if pd.find_graphviz():[SEP]AttributeError: 'module' object has no attribute 'find_graphviz'",,
14,38716584,1,1,TPL-DEV,,"File <*>/worker.py, line 98, in main command = pickleSer._read_with_length(infile)[SEP]File <*>/serializers.py, line 164, in _read_with_length return self.loads(obj)[SEP]File <*>/serializers.py, line 422, in loads return pickle.loads(obj)[SEP]File <*>python2.7/site-packages/six.py, line 118, in __getattr__ _module = self._resolve()[SEP]File <*>python2.7/site-packages/six.py, line 115, in _resolve return _import_module(self.mod)[SEP]RuntimeError: maximum recursion depth exceeded",,
15,38790852,1,1,TPL-LLL,,"File <stdin>, line 1, in <module> [CODE][SEP]File <*>python2.7/site-packages/tensorflow/__init__.py, line 23, in <module> from tensorflow.python import *[SEP]File <*>python2.7/site-packages/tensorflow/python/__init__.py, line 48, in <module> from tensorflow.python import pywrap_tensorflow[SEP]File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 28, in <module> _pywrap_tensorflow = swig_import_helper()[SEP]File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow', fp, pathname, description)[SEP]ImportError: /usr/lib/x86_64-linux-gnu/libstdc++.so.6: version `GLIBCXX_3.4.19' not found (required by /home/anirudh/anaconda/envs/tensorflow/lib/python2.7/site-packages/tensorflow/python/_pywrap_tensorflow.so)",,
16,39238057,1,1,CORE-TPL,,"File <*>/census.py, line 73, in <module> df_train[LABEL_COLUMN] = (df_train['income_bracket'].apply(lambda x: '>50K' in x)).astype(int)[SEP]File <*>python2.7/dist-packages/pandas/core/series.py, line 2023, in apply mapped = lib.map_infer(values, f, convert=convert_dtype)[SEP]File inference.pyx, line 920, in pandas.lib.map_infer (pandas/lib.c:44780)[SEP]File <*>/census.py, line 73, in <lambda> df_train[LABEL_COLUMN] = (df_train['income_bracket'].apply(lambda x: '>50K' in x)).astype(int)[SEP]TypeError: argument of type 'float' is not iterable",,
17,39646921,1,1,CORE-TPL,,"File <pyshell#0>, line 1, in <module> from keras.layers import Dense[SEP]ImportError: cannot import name 'Dense'",,
18,40467893,1,1,CORE-TPL,,"File mnist_softmax.py, line 78, in <module> tf.app.run(main=main, argv=[sys.argv[0]] + unparsed)[SEP]TypeError: run() got an unexpected keyword argument 'argv'",,
19,40511562,1,2,CORE-TPL,,"File [FILE], line 4, in `<module>`() tf.global_variables_initializer().run()[SEP]AttributeError: 'module' object has no attribute 'global_variables_initializer'",,
20,40538920,1,2,TPL-TPL,,"File <*>python3.5/site-packages/keras/backend/tensorflow_backend.py, line 5, in <module>() from tensorflow.python.ops import ctc_ops as ctc[SEP]ImportError: cannot import name 'ctc_ops'",,
21,40538920,1,2,TPL-TPL,,"File [FILE], line 1, in <module>() import keras[SEP]File <*>python3.5/site-packages/keras/__init__.py, line 2, in <module>() from . import backend[SEP]File <*>python3.5/site-packages/keras/backend/__init__.py, line 69, in <module>() from .tensorflow_backend import *[SEP]File <*>python3.5/site-packages/keras/backend/tensorflow_backend.py, line 7, in <module>() import tensorflow.contrib.ctc as ctc[SEP]ImportError: No module named 'tensorflow.contrib.ctc'",,
22,41372375,1,1,CORE-TPL,,"File <*>/test3.py, line 5, in [FUNC] [CODE][SEP]AttributeError: module 'tensorflow.contrib.learn' has no attribute 'TensorFlowDNNClassifier'",,
23,41482913,1,2,CORE-TPL,,"File [FILE], line 1, in <module>() writer = tf.train.SummaryWriter('./my_graph', sess.graph)[SEP]AttributeError: 'module' object has no attribute 'SummaryWriter'",,
24,41482913,1,2,CORE-TPL,,"File [FILE], line 1, in <module>() writer = tf.train.FileWriter('./my_graph', sess.graph)[SEP]AttributeError: 'module' object has no attribute 'FileWriter'",,
25,41482913,1,1,CORE-TPL,,"File <stdin>, line 1, in <module> [CODE][SEP]AttributeError: 'module' object has no attribute 'FileWriter'",,
26,41813665,1,1,CORE-TPL,,"File DA_test_pred.py, line 24, in <module> logits, _ = inception.inception_v1(processed_images, num_classes=1001, is_training=False)[SEP]File <*>/inception_v1.py, line 290, in inception_v1 net, end_points = inception_v1_base(inputs, scope=scope)[SEP]File <*>/inception_v1.py, line 96, in inception_v1_base net = tf.concat(3, [branch_0, branch_1, branch_2, branch_3])[SEP]File <*>python2.7/dist-packages/tensorflow/python/ops/array_ops.py, line 1053, in concat dtype=dtypes.int32).get_shape([SEP]File <*>python2.7/dist-packages/tensorflow/python/framework/ops.py, line 651, in convert_to_tensor as_ref=False)[SEP]File <*>python2.7/dist-packages/tensorflow/python/framework/ops.py, line 716, in internal_convert_to_tensor ret = conversion_func(value, dtype=dtype, name=name, as_ref=as_ref)[SEP]File <*>python2.7/dist-packages/tensorflow/python/framework/constant_op.py, line 176, in _constant_tensor_conversion_function return constant(v, dtype=dtype, name=name)[SEP]File <*>python2.7/dist-packages/tensorflow/python/framework/constant_op.py, line 165, in constant tensor_util.make_tensor_proto(value, dtype=dtype, shape=shape, verify_shape=verify_shape))[SEP]File <*>python2.7/dist-packages/tensorflow/python/framework/tensor_util.py, line 367, in make_tensor_proto _AssertCompatible(values, dtype)[SEP]File <*>python2.7/dist-packages/tensorflow/python/framework/tensor_util.py, line 302, in _AssertCompatible (dtype.name, repr(mismatch), type(mismatch).__name__))[SEP]TypeError: Expected int32, got list containing Tensors of type '_Message' instead.",,
27,41875915,1,1,TPL-TPL,,"File <*>python2.7/dist-packages/pip/basecommand.py, line 122, in main status = self.run(options, args)[SEP]File <*>python2.7/dist-packages/pip/commands/install.py, line 278, in run requirement_set.prepare_files(finder, force_root_egg_info=self.bundle, bundle=self.bundle)[SEP]File /usr/lib/python2.7/dist-packages/pip/req.py, line 1178, in prepare_files url = finder.find_requirement(req_to_install, upgrade=self.upgrade)",,
28,42094377,1,1,CORE-TPL,,"File ptb_word_lm.py, line 374, in <module> tf.app.run()[SEP]File <*>python3.6/site-packages/tensorflow/python/platform/app.py, line 43, in run sys.exit(main(sys.argv[:1] + flags_passthrough))[SEP]File ptb_word_lm.py, line 334, in main train_input = PTBInput(config=config, data=train_data, name=""TrainInput"")[SEP]File ptb_word_lm.py, line 94, in __init__ data, batch_size, num_steps, name=name)[SEP]File <*>/reader.py, line 117, in ptb_producer [batch_size, (i + 1) * num_steps])[SEP]TypeError: strided_slice() missing 1 required positional argument: 'strides'",,
29,42481938,1,1,CORE-TPL,,"File fully_connected_feed.py, line 229, in <module> tf.app.run()[SEP]File <*>python2.7/site-packages/tensorflow/python/platform/app.py, line 44, in run _sys.exit(main(_sys.argv[:1] + flags_passthrough))[SEP]File fully_connected_feed.py, line 225, in main run_training()[SEP]File fully_connected_feed.py, line 154, in run_training summary_op = tf.merge_all_summaries()[SEP]AttributeError: 'module' object has no attribute 'merge_all_summaries'",,
30,42675391,1,1,CORE-TPL,,"File mnist_test.py, line 19, in <module> cross_entropy = tf.nn.sigmoid_cross_entropy_with_logits(labels=y_, logits=y)[SEP]TypeError: sigmoid_cross_entropy_with_logits() got an unexpected keyword argument 'labels'",,
31,42729958,1,1,TPL-DEV,,"File <*>python3.6/site-packages/theano/gof/opt.py, line 1772, in process_node replacements = lopt.transform(node)[SEP]File <*>python3.6/site-packages/theano/tensor/opt.py, line 5825, in constant_folding no_recycling=[])[SEP]File <*>python3.6/site-packages/theano/gof/op.py, line 970, in make_thunk no_recycling)[SEP]File <*>python3.6/site-packages/theano/gof/op.py, line 879, in make_c_thunk output_storage=node_output_storage)[SEP]File <*>python3.6/site-packages/theano/gof/cc.py, line 1200, in make_thunk keep_lock=keep_lock)[SEP]File <*>python3.6/site-packages/theano/gof/cc.py, line 1143, in __compile__ keep_lock=keep_lock)[SEP]File <*>python3.6/site-packages/theano/gof/cc.py, line 1595, in cthunk_factory key=key, lnk=self, keep_lock=keep_lock)[SEP]File <*>python3.6/site-packages/theano/gof/cmodule.py, line 1142, in module_from_key module = lnk.compile_cmodule(location)[SEP]File <*>python3.6/site-packages/theano/gof/cc.py, line 1506, in compile_cmodule preargs=preargs)[SEP]File <*>python3.6/site-packages/theano/gof/cmodule.py, line 2213, in compile_str return dlimport(lib_filename)[SEP]File <*>python3.6/site-packages/theano/gof/cmodule.py, line 299, in dlimport rval = __import__(module_name, {}, {}, [module_name])[SEP]ImportError: /home/puck/.theano/compiledir_Linux-4.4--MANJARO-x86_64-with-glibc2.2.5--3.6.0-64/tmpre6vph8g/mdb219947724f79219f7dbd36f0f52c77.so: undefined symbol: _ZdlPvm",,
32,42756503,1,1,TPL-os,,"File <*>python2.7/site-packages/tensorflow/python/__init__.py, line 61, in <module> from tensorflow.python import pywrap_tensorflow[SEP]File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 28, in <module> _pywrap_tensorflow = swig_import_helper()[SEP]File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow', fp, pathname, description)[SEP]ImportError: dlopen(/Users/smahesh/src/tensorflow/lib/python2.7/site-packages/tensorflow/python/_pywrap_tensorflow.so, 10): Library not loaded: @rpath/libcudart.8.0.dylib",,
33,42822486,1,1,CORE-TPL,,"File cnn.py, line 258, in <module> models = run_cross_validation_create_models(num_folds)[SEP]File cnn.py, line 205, in run_cross_validation_create_models validation_data=(X_valid, Y_valid))[SEP]TypeError: fit_generator() takes at least 4 arguments (5 given)",,
34,42823627,1,1,CORE-TPL,,"File <*>/test_model.py, line 2, in <module> from models import NN_with_EntityEmbedding[SEP]File <*>/models.py, line 8, in <module> from keras.layers.core import Dense, Dropout, Activation, Merge, Reshape[SEP]ImportError: cannot import name Merge",,
35,42947295,1,1,CORE-TPL,,"File convnet.py, line 6, in <module> model.add(Conv2D(32, (3, 3), input_shape=(3, 150, 150)))[SEP]TypeError: __init__() missing 1 required positional argument: 'nb_col'",,
36,42998355,1,1,TPL-TPL,,"File <*>/CNNTest-one.py, line 7, in <module> import lasagne[SEP]File <*>/site-packages/lasagne/__init__.py, line 19, in <module> from . import layers[SEP]File <*>/site-packages/lasagne/layers/__init__.py, line 7, in <module> from .pool import *[SEP]File <*>/site-packages/lasagne/layers/pool.py, line 6, in <module> from theano.tensor.signal import downsample[SEP]ImportError: cannot import name 'downsample'",,
37,43577923,1,2,TPL-LLL,,"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 18, in swig_import_helper() return importlib.import_module(mname)[SEP]File <*>/importlib__init__.py, line 126, in import_module(name, package) return _bootstrap._gcd_import(name[level:], package, level)[SEP]File <*>/importlib_bootstrap.py, line [NUM], in _gcd_import(name, package, level) [CODE][SEP]File <*>/importlib_bootstrap.py, line [NUM], in _find_and_load(name, import_) [CODE][SEP]File <*>/importlib_bootstrap.py, line [NUM], in _find_and_load_unlocked(name, import_) [CODE][SEP]File <*>/importlib_bootstrap.py, line [NUM], in _load_unlocked(spec) [CODE][SEP]File <*>/importlib_bootstrap.py, line [NUM], in module_from_spec(spec ) [CODE][SEP]File <*>/importlib_bootstrap_external.py, line [NUM], in create_module(self, spec) [CODE][SEP]File <*>/importlib_bootstrap.py, line [NUM], in _call_with_frames_removed(f, *args, **kwds) [CODE][SEP]ImportError: DLL load failed: The specified module could not be found.",,
38,43577923,1,2,TPL-LLL,,"File <*>/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in () from tensorflow.python.pywrap_tensorflow_internal import *[SEP]File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 21, in () _pywrap_tensorflow_internal = swig_import_helper()[SEP]File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 20, in swig_import_helper() return importlib.import_module('_pywrap_tensorflow_internal' )[SEP]File <*>/importlib__init__.py, line 126, in import_module(name, pac kage) return _bootstrap._gcd_import(name[level:], package, level)[SEP]ImportError: No module named '_pywrap_tensorflow_internal'",,
39,43577923,1,1,TPL-LLL,,"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 18, in swig_import_helper return importlib.import_module(mname)[SEP]File <*>/importlib__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level)[SEP]File [FILE], line 126, in [FUNC] [CODE][SEP]ImportError: DLL load failed: The specified module could not be found.",,
40,43577923,1,1,TPL-LLL,,"File <*>/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in from tensorflow.python.pywrap_tensorflow_internal import *[SEP]File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 21, in _pywrap_tensorflow_internal = swig_import_helper()[SEP]File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 20, in swig_import_helper return importlib.import_module('_pywrap_tensorflow_internal')[SEP]File <*>/importlib__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level)[SEP]ImportError: No module named '_pywrap_tensorflow_internal'",,
41,43786994,1,2,CORE-TPL,,"File <*>python3.5/site-packages/tensorflow/python/framework/op_def_library.py, line 491, in apply_op(self, op_type_name, name, **keywords) preferred_dtype=default_dtype)[SEP]File <*>python3.5/site-packages/tensorflow/python/framework/ops.py, line 704, in internal_convert_to_tensor(value, dtype, name, as_ref, preferred_dtype) ret = conversion_func(value, dtype=dtype, name=name, as_ref=as_ref)[SEP]File <*>python3.5/site-packages/tensorflow/python/framework/ops.py, line 577, in _TensorTensorConversionFunction(t, dtype, name, as_ref) % (dtype.name, t.dtype.name, str(t)))[SEP]ValueError: Tensor conversion requested dtype int32 for Tensor with dtype float32: 'Tensor(""nce_loss/Reshape_1:0"", shape=(?, 1, ?), dtype=float32)'",,
42,43786994,1,2,CORE-TPL,,"File [FILE], line 44, in <module>() num_sampled, vocabulary_size))[SEP]File <*>python3.5/site-packages/tensorflow/python/ops/nn_impl.py, line 1166, in nce_loss(weights, biases, labels, inputs, num_sampled, num_classes, num_true, sampled_values, remove_accidental_hits, partition_strategy, name) name=name)[SEP]File <*>python3.5/site-packages/tensorflow/python/ops/nn_impl.py, line 1001, in _compute_sampled_logits(weights, biases, labels, inputs, num_sampled, num_classes, num_true, sampled_values, subtract_log_q, remove_accidental_hits, partition_strategy, name) array_ops.reshape(true_w, new_true_w_shape))[SEP]File <*>python3.5/site-packages/tensorflow/python/ops/math_ops.py, line 278, in multiply(x, y, name) return gen_math_ops._mul(x, y, name)[SEP]File <*>python3.5/site-packages/tensorflow/python/ops/gen_math_ops.py, line 1434, in _mul(x, y, name) result = _op_def_lib.apply_op(""Mul"", x=x, y=y, name=name)[SEP]File <*>python3.5/site-packages/tensorflow/python/framework/op_def_library.py, line 527, in apply_op(self, op_type_name, name, **keywords) inferred_from[input_arg.type_attr]))[SEP]TypeError: Input 'y' of 'Mul' Op has type float32 that does not match type int32 of argument 'x'.",,
43,44080677,1,1,TPL-LLL,,"File <*>/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in <module> from tensorflow.python.pywrap_tensorflow_internal import *[SEP]File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 21, in <module> _pywrap_tensorflow_internal = swig_import_helper()[SEP]File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 20, in swig_import_helper return importlib.import_module('_pywrap_tensorflow_internal')[SEP]File <*>/__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level)[SEP]ImportError: No module named '_pywrap_tensorflow_internal'",,
44,44080677,1,1,TPL-LLL,,"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 18, in swig_import_helper return importlib.import_module(mname)[SEP]File <*>/__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level)[SEP]File <frozen importlib._bootstrap>, line 986, in _gcd_import [CODE][SEP]File <frozen importlib._bootstrap>, line 969, in _find_and_load [CODE][SEP]File <frozen importlib._bootstrap>, line 958, in _find_and_load_unlocked [CODE][SEP]File <frozen importlib._bootstrap>, line 666, in _load_unlocked [CODE][SEP]File <frozen importlib._bootstrap>, line 577, in module_from_spec [CODE][SEP]File <frozen importlib._bootstrap_external>, line 906, in create_module [CODE][SEP]File <frozen importlib._bootstrap>, line 222, in _call_with_frames_removed [CODE][SEP]ImportError: DLL load failed: The specified module could not be found.",,
45,44503603,1,1,TPL-LLL,,"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 18, in swig_import_helper return importlib.import_module(mname)[SEP]File <*>/__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level)[SEP]File <frozen importlib._bootstrap>, line 986, in _gcd_import [CODE][SEP]File <frozen importlib._bootstrap>, line 969, in _find_and_load [CODE][SEP]File <frozen importlib._bootstrap>, line 958, in _find_and_load_unlocked [CODE][SEP]File <frozen importlib._bootstrap>, line 666, in _load_unlocked [CODE][SEP]File <frozen importlib._bootstrap>, line 577, in module_from_spec [CODE][SEP]File <frozen importlib._bootstrap_external>, line 919, in create_module [CODE][SEP]File <frozen importlib._bootstrap>, line 222, in _call_with_frames_removed [CODE][SEP]ImportError: DLL load failed: The specified module could not be found.",,
47,44679439,1,1,CORE-TPL ,,"File <*>/tensorboard, line 7, in <module> from tensorflow.tensorboard.tensorboard import main[SEP]ModuleNotFoundError: No module named 'tensorflow.tensorboard.tensorboard'",,
48,44993098,1,1,TPL-LLL,,"File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in <module> from tensorflow.python.pywrap_tensorflow_internal import *[SEP]File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 28, in <module> _pywrap_tensorflow_internal = swig_import_helper()[SEP]File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow_internal', fp, pathname, description)[SEP]ImportError: libcusolver.so.8.0: cannot open shared object file: No such file or directory Failed to load the native TensorFlow runtime.",,
49,45084467,1,1,CORE-TPL,,"File <*>/running_template.py, line 65, in <module> cytoplasm_predictions = run_models_on_directory(data_location,cyto_channel_names, cyto_location, model_fn = cyto_fn,list_of_weights = list_of_cyto_weights, image_size_x = image_size_x, image_size_y = image_size_y,win_x = win_cyto, win_y = win_cyto, std = False, split = False)[SEP]File <*>/cnn_functions.py, line 1491, in run_models_on_directory model = model_fn(batch_input_shape = batch_input_shape, n_features = n_features, weights_path = list_of_weights[0])[SEP]File <*>/model_zoo.py, line 528, in sparse_bn_feature_net_61x61 model.add(sparse_Convolution2D(64, 3, 3, d = d, init = init, batch_input_shape = batch_input_shape, border_mode='valid', W_regularizer = l2(reg)))[SEP]File <*>python2.7/site-packages/keras/models.py, line 436, in add layer(x)[SEP]File <*>python2.7/site-packages/keras/engine/topology.py, line 569, in __call__ self.build(input_shapes[0])[SEP]File <*>/cnn_functions.py, line 1012, in build self.W = self.init(self.W_shape, name='{}_W'.format(self.name))[SEP]TypeError: __call__() got an unexpected keyword argument 'name'",,
50,47485847,1,1,TPL-os,,"File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in from tensorflow.python.pywrap_tensorflow_internal import *[SEP]File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 28, in _pywrap_tensorflow_internal = swig_import_helper()[SEP]File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow_internal', fp, pathname, description)[SEP]File <*>python3.6/imp.py, line 242, in load_module return load_dynamic(name, filename, file)[SEP]File <*>python3.6/imp.py, line 342, in load_dynamic return _load(spec)[SEP]ImportError: dlopen(/Users/joson/tensorflow/lib/python3.6/site-packages/tensorflow/python/_pywrap_tensorflow_internal.so, 10): Library not loaded: @rpath/libcublas.8.0.dylib",,
52,48054531,1,1,TPL-TPL,,"File <string>, line 1, in <module> [CODE][SEP]File <*>python3.4/site-packages/pandas/__init__.py, line 35, in <module> ""the C extensions first."".format(module))[SEP]ImportError: C extension: numpy.core.multiarray failed to import not built. If you want to import pandas from the source directory, you may need to run 'python setup.py build_ext --inplace --force' to build the C extensions first.",,
53,48477909,1,1,TPL-LLL,,"File <*>/site-packages/tensorflow/python/platform/self_check.py, line 75, in preload_check ctypes.WinDLL(build_info.cudart_dll_name)[SEP]File <*>/__init__.py, line 347, in __init__ self._handle = _dlopen(self._name, mode)[SEP]OSError: [WinError 126] The specified module could not be found",,
