Templates,label
"File <stdin>, line 1, in <module> [CODE] File <*>python2.7/site-packages/tensorflow/__init__.py, line 23, in <module> from tensorflow.python import * File <*>python2.7/site-packages/tensorflow/python/__init__.py, line 48, in <module> from tensorflow.python import pywrap_tensorflow File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 28, in <module> _pywrap_tensorflow = swig_import_helper() File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow', fp, pathname, description) ImportError: /usr/lib/x86_64-linux-gnu/libstdc++.so.6: version `GLIBCXX_3.4.19' not found (required by /home/anirudh/anaconda/envs/tensorflow/lib/python2.7/site-packages/tensorflow/python/_pywrap_tensorflow.so)",1
"File <*>/census.py, line 73, in <module> df_train[LABEL_COLUMN] = (df_train['income_bracket'].apply(lambda x: '>50K' in x)).astype(int) File <*>python2.7/dist-packages/pandas/core/series.py, line 2023, in apply mapped = lib.map_infer(values, f, convert=convert_dtype) File inference.pyx, line 920, in pandas.lib.map_infer (pandas/lib.c:44780) File <*>/census.py, line 73, in <lambda> df_train[LABEL_COLUMN] = (df_train['income_bracket'].apply(lambda x: '>50K' in x)).astype(int) TypeError: argument of type 'float' is not iterable",1
"File <pyshell#0>, line 1, in <module> from keras.layers import Dense ImportError: cannot import name 'Dense'",1
"File mnist_softmax.py, line 78, in <module> tf.app.run(main=main, argv=[sys.argv[0]] + unparsed) TypeError: run() got an unexpected keyword argument 'argv'",1
"File [FILE], line 4, in `<module>`() tf.global_variables_initializer().run() AttributeError: 'module' object has no attribute 'global_variables_initializer'",1
"File <*>python3.5/site-packages/keras/backend/tensorflow_backend.py, line 5, in <module>() from tensorflow.python.ops import ctc_ops as ctc ImportError: cannot import name 'ctc_ops'",1
"File [FILE], line 1, in <module>() import keras File <*>python3.5/site-packages/keras/__init__.py, line 2, in <module>() from . import backend File <*>python3.5/site-packages/keras/backend/__init__.py, line 69, in <module>() from .tensorflow_backend import * File <*>python3.5/site-packages/keras/backend/tensorflow_backend.py, line 7, in <module>() import tensorflow.contrib.ctc as ctc ImportError: No module named 'tensorflow.contrib.ctc'",1
"File <*>/test3.py, line 5, in [FUNC] [CODE] AttributeError: module 'tensorflow.contrib.learn' has no attribute 'TensorFlowDNNClassifier'",1
"File [FILE], line 1, in <module>() writer = tf.train.SummaryWriter('./my_graph', sess.graph) AttributeError: 'module' object has no attribute 'SummaryWriter'",1
"File [FILE], line 1, in <module>() writer = tf.train.FileWriter('./my_graph', sess.graph) AttributeError: 'module' object has no attribute 'FileWriter'",1
"File <stdin>, line 1, in <module> [CODE] AttributeError: 'module' object has no attribute 'FileWriter'",1
"File DA_test_pred.py, line 24, in <module> logits, _ = inception.inception_v1(processed_images, num_classes=1001, is_training=False) File <*>/inception_v1.py, line 290, in inception_v1 net, end_points = inception_v1_base(inputs, scope=scope) File <*>/inception_v1.py, line 96, in inception_v1_base net = tf.concat(3, [branch_0, branch_1, branch_2, branch_3]) File <*>python2.7/dist-packages/tensorflow/python/ops/array_ops.py, line 1053, in concat dtype=dtypes.int32).get_shape( File <*>python2.7/dist-packages/tensorflow/python/framework/ops.py, line 651, in convert_to_tensor as_ref=False) File <*>python2.7/dist-packages/tensorflow/python/framework/ops.py, line 716, in internal_convert_to_tensor ret = conversion_func(value, dtype=dtype, name=name, as_ref=as_ref) File <*>python2.7/dist-packages/tensorflow/python/framework/constant_op.py, line 176, in _constant_tensor_conversion_function return constant(v, dtype=dtype, name=name) File <*>python2.7/dist-packages/tensorflow/python/framework/constant_op.py, line 165, in constant tensor_util.make_tensor_proto(value, dtype=dtype, shape=shape, verify_shape=verify_shape)) File <*>python2.7/dist-packages/tensorflow/python/framework/tensor_util.py, line 367, in make_tensor_proto _AssertCompatible(values, dtype) File <*>python2.7/dist-packages/tensorflow/python/framework/tensor_util.py, line 302, in _AssertCompatible (dtype.name, repr(mismatch), type(mismatch).__name__)) TypeError: Expected int32, got list containing Tensors of type '_Message' instead.",1
"File <*>python2.7/dist-packages/pip/basecommand.py, line 122, in main status = self.run(options, args) File <*>python2.7/dist-packages/pip/commands/install.py, line 278, in run requirement_set.prepare_files(finder, force_root_egg_info=self.bundle, bundle=self.bundle) File /usr/lib/python2.7/dist-packages/pip/req.py, line 1178, in prepare_files url = finder.find_requirement(req_to_install, upgrade=self.upgrade)",1
"File ptb_word_lm.py, line 374, in <module> tf.app.run() File <*>python3.6/site-packages/tensorflow/python/platform/app.py, line 43, in run sys.exit(main(sys.argv[:1] + flags_passthrough)) File ptb_word_lm.py, line 334, in main train_input = PTBInput(config=config, data=train_data, name=""TrainInput"") File ptb_word_lm.py, line 94, in __init__ data, batch_size, num_steps, name=name) File <*>/reader.py, line 117, in ptb_producer [batch_size, (i + 1) * num_steps]) TypeError: strided_slice() missing 1 required positional argument: 'strides'",1
"File mnist_test.py, line 19, in <module> cross_entropy = tf.nn.sigmoid_cross_entropy_with_logits(labels=y_, logits=y) TypeError: sigmoid_cross_entropy_with_logits() got an unexpected keyword argument 'labels'",1
"File <*>python3.6/site-packages/theano/gof/opt.py, line 1772, in process_node replacements = lopt.transform(node) File <*>python3.6/site-packages/theano/tensor/opt.py, line 5825, in constant_folding no_recycling=[]) File <*>python3.6/site-packages/theano/gof/op.py, line 970, in make_thunk no_recycling) File <*>python3.6/site-packages/theano/gof/op.py, line 879, in make_c_thunk output_storage=node_output_storage) File <*>python3.6/site-packages/theano/gof/cc.py, line 1200, in make_thunk keep_lock=keep_lock) File <*>python3.6/site-packages/theano/gof/cc.py, line 1143, in __compile__ keep_lock=keep_lock) File <*>python3.6/site-packages/theano/gof/cc.py, line 1595, in cthunk_factory key=key, lnk=self, keep_lock=keep_lock) File <*>python3.6/site-packages/theano/gof/cmodule.py, line 1142, in module_from_key module = lnk.compile_cmodule(location) File <*>python3.6/site-packages/theano/gof/cc.py, line 1506, in compile_cmodule preargs=preargs) File <*>python3.6/site-packages/theano/gof/cmodule.py, line 2213, in compile_str return dlimport(lib_filename) File <*>python3.6/site-packages/theano/gof/cmodule.py, line 299, in dlimport rval = __import__(module_name, {}, {}, [module_name]) ImportError: /home/puck/.theano/compiledir_Linux-4.4--MANJARO-x86_64-with-glibc2.2.5--3.6.0-64/tmpre6vph8g/mdb219947724f79219f7dbd36f0f52c77.so: undefined symbol: _ZdlPvm",1
"File <*>python2.7/site-packages/tensorflow/python/__init__.py, line 61, in <module> from tensorflow.python import pywrap_tensorflow File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 28, in <module> _pywrap_tensorflow = swig_import_helper() File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow', fp, pathname, description) ImportError: dlopen(/Users/smahesh/src/tensorflow/lib/python2.7/site-packages/tensorflow/python/_pywrap_tensorflow.so, 10): Library not loaded: @rpath/libcudart.8.0.dylib",1
"File cnn.py, line 258, in <module> models = run_cross_validation_create_models(num_folds) File cnn.py, line 205, in run_cross_validation_create_models validation_data=(X_valid, Y_valid)) TypeError: fit_generator() takes at least 4 arguments (5 given)",1
"File <*>/test_model.py, line 2, in <module> from models import NN_with_EntityEmbedding File <*>/models.py, line 8, in <module> from keras.layers.core import Dense, Dropout, Activation, Merge, Reshape ImportError: cannot import name Merge",1
"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 18, in swig_import_helper() return importlib.import_module(mname) File <*>/importlib__init__.py, line 126, in import_module(name, package) return _bootstrap._gcd_import(name[level:], package, level) File <*>/importlib_bootstrap.py, line [NUM], in _gcd_import(name, package, level) [CODE] File <*>/importlib_bootstrap.py, line [NUM], in _find_and_load(name, import_) [CODE] File <*>/importlib_bootstrap.py, line [NUM], in _find_and_load_unlocked(name, import_) [CODE] File <*>/importlib_bootstrap.py, line [NUM], in _load_unlocked(spec) [CODE] File <*>/importlib_bootstrap.py, line [NUM], in module_from_spec(spec ) [CODE] File <*>/importlib_bootstrap_external.py, line [NUM], in create_module(self, spec) [CODE] File <*>/importlib_bootstrap.py, line [NUM], in _call_with_frames_removed(f, *args, **kwds) [CODE] ImportError: DLL load failed: The specified module could not be found.",1
"File <*>/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in () from tensorflow.python.pywrap_tensorflow_internal import * File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 21, in () _pywrap_tensorflow_internal = swig_import_helper() File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 20, in swig_import_helper() return importlib.import_module('_pywrap_tensorflow_internal' ) File <*>/importlib__init__.py, line 126, in import_module(name, pac kage) return _bootstrap._gcd_import(name[level:], package, level) ImportError: No module named '_pywrap_tensorflow_internal'",1
"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 18, in swig_import_helper return importlib.import_module(mname) File <*>/importlib__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level) File [FILE], line 126, in [FUNC] [CODE] ImportError: DLL load failed: The specified module could not be found.",1
"File <*>/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in from tensorflow.python.pywrap_tensorflow_internal import * File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 21, in _pywrap_tensorflow_internal = swig_import_helper() File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 20, in swig_import_helper return importlib.import_module('_pywrap_tensorflow_internal') File <*>/importlib__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level) ImportError: No module named '_pywrap_tensorflow_internal'",1
"File <*>python3.5/site-packages/tensorflow/python/framework/op_def_library.py, line 491, in apply_op(self, op_type_name, name, **keywords) preferred_dtype=default_dtype) File <*>python3.5/site-packages/tensorflow/python/framework/ops.py, line 704, in internal_convert_to_tensor(value, dtype, name, as_ref, preferred_dtype) ret = conversion_func(value, dtype=dtype, name=name, as_ref=as_ref) File <*>python3.5/site-packages/tensorflow/python/framework/ops.py, line 577, in _TensorTensorConversionFunction(t, dtype, name, as_ref) % (dtype.name, t.dtype.name, str(t))) ValueError: Tensor conversion requested dtype int32 for Tensor with dtype float32: 'Tensor(""nce_loss/Reshape_1:0"", shape=(?, 1, ?), dtype=float32)'",1
"File [FILE], line 44, in <module>() num_sampled, vocabulary_size)) File <*>python3.5/site-packages/tensorflow/python/ops/nn_impl.py, line 1166, in nce_loss(weights, biases, labels, inputs, num_sampled, num_classes, num_true, sampled_values, remove_accidental_hits, partition_strategy, name) name=name) File <*>python3.5/site-packages/tensorflow/python/ops/nn_impl.py, line 1001, in _compute_sampled_logits(weights, biases, labels, inputs, num_sampled, num_classes, num_true, sampled_values, subtract_log_q, remove_accidental_hits, partition_strategy, name) array_ops.reshape(true_w, new_true_w_shape)) File <*>python3.5/site-packages/tensorflow/python/ops/math_ops.py, line 278, in multiply(x, y, name) return gen_math_ops._mul(x, y, name) File <*>python3.5/site-packages/tensorflow/python/ops/gen_math_ops.py, line 1434, in _mul(x, y, name) result = _op_def_lib.apply_op(""Mul"", x=x, y=y, name=name) File <*>python3.5/site-packages/tensorflow/python/framework/op_def_library.py, line 527, in apply_op(self, op_type_name, name, **keywords) inferred_from[input_arg.type_attr])) TypeError: Input 'y' of 'Mul' Op has type float32 that does not match type int32 of argument 'x'.",1
"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 18, in swig_import_helper return importlib.import_module(mname) File <*>/__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level) File <frozen importlib._bootstrap>, line 986, in _gcd_import [CODE] File <frozen importlib._bootstrap>, line 969, in _find_and_load [CODE] File <frozen importlib._bootstrap>, line 958, in _find_and_load_unlocked [CODE] File <frozen importlib._bootstrap>, line 666, in _load_unlocked [CODE] File <frozen importlib._bootstrap>, line 577, in module_from_spec [CODE] File <frozen importlib._bootstrap_external>, line 906, in create_module [CODE] File <frozen importlib._bootstrap>, line 222, in _call_with_frames_removed [CODE] ImportError: DLL load failed: The specified module could not be found.",1
"File <*>/tensorboard, line 7, in <module> from tensorflow.tensorboard.tensorboard import main ModuleNotFoundError: No module named 'tensorflow.tensorboard.tensorboard'",1
"File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in <module> from tensorflow.python.pywrap_tensorflow_internal import * File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 28, in <module> _pywrap_tensorflow_internal = swig_import_helper() File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow_internal', fp, pathname, description) ImportError: libcusolver.so.8.0: cannot open shared object file: No such file or directory Failed to load the native TensorFlow runtime.",1
"File <*>/running_template.py, line 65, in <module> cytoplasm_predictions = run_models_on_directory(data_location,cyto_channel_names, cyto_location, model_fn = cyto_fn,list_of_weights = list_of_cyto_weights, image_size_x = image_size_x, image_size_y = image_size_y,win_x = win_cyto, win_y = win_cyto, std = False, split = False) File <*>/cnn_functions.py, line 1491, in run_models_on_directory model = model_fn(batch_input_shape = batch_input_shape, n_features = n_features, weights_path = list_of_weights[0]) File <*>/model_zoo.py, line 528, in sparse_bn_feature_net_61x61 model.add(sparse_Convolution2D(64, 3, 3, d = d, init = init, batch_input_shape = batch_input_shape, border_mode='valid', W_regularizer = l2(reg))) File <*>python2.7/site-packages/keras/models.py, line 436, in add layer(x) File <*>python2.7/site-packages/keras/engine/topology.py, line 569, in __call__ self.build(input_shapes[0]) File <*>/cnn_functions.py, line 1012, in build self.W = self.init(self.W_shape, name='{}_W'.format(self.name)) TypeError: __call__() got an unexpected keyword argument 'name'",1
"File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow.py, line 41, in from tensorflow.python.pywrap_tensorflow_internal import * File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 28, in _pywrap_tensorflow_internal = swig_import_helper() File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow_internal', fp, pathname, description) File <*>python3.6/imp.py, line 242, in load_module return load_dynamic(name, filename, file) File <*>python3.6/imp.py, line 342, in load_dynamic return _load(spec) ImportError: dlopen(/Users/joson/tensorflow/lib/python3.6/site-packages/tensorflow/python/_pywrap_tensorflow_internal.so, 10): Library not loaded: @rpath/libcublas.8.0.dylib",1
"File <string>, line 1, in <module> [CODE] File <*>python3.4/site-packages/pandas/__init__.py, line 35, in <module> ""the C extensions first."".format(module)) ImportError: C extension: numpy.core.multiarray failed to import not built. If you want to import pandas from the source directory, you may need to run 'python setup.py build_ext --inplace --force' to build the C extensions first.",1
"File <pyshell#6>, line 1, in <module> import tensorflow as tf File <*>/site-packages/tensorflow/__init__.py, line 24, in <module> from tensorflow.python import * File <*>/site-packages/tensorflow/python/__init__.py, line 49, in <module> from tensorflow.python import pywrap_tensorflow File <*>/site-packages/tensorflow/python/pywrap_tensorflow.py, line 30, in <module> self_check.preload_check() File <*>/site-packages/tensorflow/python/platform/self_check.py, line 82, in preload_check % (build_info.cudart_dll_name, build_info.cuda_version_number)) ImportError: Could not find 'cudart64_90.dll'. TensorFlow requires that this DLL be installed in a directory that is named in your %PATH% environment variable. Download and install CUDA 9.0 from this URL: https://developer.nvidia.com/cuda-toolkit",1
"File <*>python2.7/runpy.py, line 174, in _run_module_as_main ""__main__"", fname, loader, pkg_name) File <*>python2.7/runpy.py, line 72, in _run_code exec code in run_globals File <*>python2.7/site-packages/object_detection/train.py, line 49, in <module> from object_detection import trainer File <*>python2.7/site-packages/object_detection/trainer.py, line 27, in <module> from object_detection.builders import preprocessor_builder File <*>python2.7/site-packages/object_detection/builders/preprocessor_builder.py, line 21, in <module> from object_detection.protos import preprocessor_pb2 File <*>python2.7/site-packages/object_detection/protos/preprocessor_pb2.py, line 71, in <module> options=None, file=DESCRIPTOR), TypeError: __new__() got an unexpected keyword argument 'file'",1
"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 18, in swig_import_helper return importlib.import_module(mname) File <*>/__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level) File <frozen importlib._bootstrap>, line 994, in _gcd_import [CODE] File <frozen importlib._bootstrap>, line 971, in _find_and_load [CODE] File <frozen importlib._bootstrap>, line 955, in _find_and_load_unlocked [CODE] File <frozen importlib._bootstrap>, line 658, in _load_unlocked [CODE] File <frozen importlib._bootstrap>, line 571, in module_from_spec [CODE] File <frozen importlib._bootstrap_external>, line 922, in create_module [CODE] File <frozen importlib._bootstrap>, line 219, in _call_with_frames_removed [CODE] ImportError: DLL load failed with error code -1073741795",1
"File <stdin>, line 1, in <module> [CODE] File <*>/__init__.py, line 1, in <module> from .pycaffe import Net, SGDSolver, NesterovSolver, AdaGradSolver, RMSPropSolver, AdaDeltaSolver, AdamSolver, NCCL, Timer File <*>/pycaffe.py, line 15, in <module> import caffe.io File <*>/io.py, line 2, in <module> import skimage.io File <*>python3.6/site-packages/skimage/io/__init__.py, line 15, in <module> reset_plugins() File <*>python3.6/site-packages/skimage/io/manage_plugins.py, line 93, in reset_plugins _load_preferred_plugins() File <*>python3.6/site-packages/skimage/io/manage_plugins.py, line 73, in _load_preferred_plugins _set_plugin(p_type, preferred_plugins['all']) File <*>python3.6/site-packages/skimage/io/manage_plugins.py, line 85, in _set_plugin use_plugin(plugin, kind=plugin_type) File <*>python3.6/site-packages/skimage/io/manage_plugins.py, line 255, in use_plugin _load(name) File <*>python3.6/site-packages/skimage/io/manage_plugins.py, line 299, in _load fromlist=[modname]) File <*>python3.6/site-packages/skimage/io/_plugins/matplotlib_plugin.py, line 3, in <module> import matplotlib.pyplot as plt File <*>python3.6/site-packages/matplotlib/pyplot.py, line 40, in <module> from matplotlib.figure import Figure, figaspect File <*>python3.6/site-packages/matplotlib/figure.py, line 39, in <module> from matplotlib.axes import Axes, SubplotBase, subplot_class_factory File <*>python3.6/site-packages/matplotlib/axes/__init__.py, line 4, in <module> from ._subplots import * File <*>python3.6/site-packages/matplotlib/axes/_subplots.py, line 10, in <module> from matplotlib.axes._axes import Axes File <*>python3.6/site-packages/matplotlib/axes/_axes.py, line 23, in <module> import matplotlib.dates as _ # <-registers a date unit converter File <*>python3.6/site-packages/matplotlib/dates.py, line 148, in <module> from dateutil.rrule import (rrule, MO, TU, WE, TH, FR, SA, SU, YEARLY, File <*>python3.6/site-packages/dateutil/rrule.py, line 55, in [FUNC] [CODE] SyntaxError: invalid syntax",1
"File [FILE], line 9, in <module>() features, label = iter(train_dataset).next() TypeError: 'BatchDataset' object is not iterable",1
"File <*>/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 14, in swig_import_helper return importlib.import_module(mname) File <*>/__init__.py, line 126, in import_module return _bootstrap._gcd_import(name[level:], package, level) File <frozen importlib._bootstrap>, line 994, in _gcd_import [CODE] File <frozen importlib._bootstrap>, line 971, in _find_and_load [CODE] File <frozen importlib._bootstrap>, line 955, in _find_and_load_unlocked [CODE] File <frozen importlib._bootstrap>, line 658, in _load_unlocked [CODE] File <frozen importlib._bootstrap>, line 571, in module_from_spec [CODE] File <frozen importlib._bootstrap_external>, line 922, in create_module [CODE] File <frozen importlib._bootstrap>, line 219, in _call_with_frames_removed [CODE] ImportError: DLL load failed: A dynamic link library (DLL) initialization routine failed.",1
"File kerasbottleneck.py, line 104, in <module> train_top_model() File kerasbottleneck.py, line 82, in train_top_model train_data = np.load(open('bottleneck_features_train.npy')) File <*>python3.6/site-packages/numpy/lib/npyio.py, line 404, in load magic = fid.read(N) File <*>python3.6/codecs.py, line 321, in decode (result, consumed) = self._buffer_decode(data, self.errors, final) UnicodeDecodeError: 'utf-8' codec can't decode byte 0x93 in position 0: invalid start byte",1
"File <stdin>, line 1, in <module> [CODE] File <*>python3.6/site-packages/keras/models.py, line 243, in load_model model = model_from_config(model_config, custom_objects=custom_objects) File <*>python3.6/site-packages/keras/models.py, line 317, in model_from_config return layer_module.deserialize(config, custom_objects=custom_objects) File <*>python3.6/site-packages/keras/layers/__init__.py, line 55, in deserialize printable_module_name='layer') File <*>python3.6/site-packages/keras/utils/generic_utils.py, line 143, in deserialize_keras_object list(custom_objects.items()))) File <*>python3.6/site-packages/keras/models.py, line 1352, in from_config layer = layer_module.deserialize(conf, custom_objects=custom_objects) File <*>python3.6/site-packages/keras/utils/generic_utils.py, line 145, in deserialize_keras_object return cls.from_config(config['config']) File <*>python3.6/site-packages/keras/engine/topology.py, line 1269, in from_config return cls(**config) File <*>python3.6/site-packages/keras/layers/core.py, line 483, in __init__ super(Flatten, self).__init__(**kwargs) File <*>python3.6/site-packages/keras/engine/topology.py, line 292, in __init__ raise TypeError('Keyword argument not understood:', kwarg) TypeError: ('Keyword argument not understood:', 'data_format')",1
"File <stdin>, line 1, in <module> [CODE] File <*>python3.7/site-packages/tensorflow/__init__.py, line 22, in <module> from tensorflow.python import pywrap_tensorflow # pylint: disable=unused-import File <*>python3.7/site-packages/tensorflow/python/__init__.py, line 49, in <module> from tensorflow.python import pywrap_tensorflow File <*>python3.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 58, in <module> from tensorflow.python.pywrap_tensorflow_internal import * File <*>python3.7/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 114, in [FUNC] [CODE] SyntaxError: invalid syntax",1
"File <stdin>, line 1, in <module> [CODE] AttributeError: module 'tensorflow.python.keras.datasets.fashion_mnist' has no attribute 'load_data'",1
"File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow.py, line 58, in <module> from tensorflow.python.pywrap_tensorflow_internal import * File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 28, in <module> _pywrap_tensorflow_internal = swig_import_helper() File <*>python3.6/site-packages/tensorflow/python/pywrap_tensorflow_internal.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow_internal', fp, pathname, description) File <*>python3.6/imp.py, line 243, in load_module return load_dynamic(name, filename, file) File <*>python3.6/imp.py, line 343, in load_dynamic return _load(spec) ImportError: dlopen(/Users/me/tensorflow/lib/python3.6/site-packages/tensorflow/python/_pywrap_tensorflow_internal.so, 6): Symbol not found: _SecKeyCopyExternalRepresentation",1
"File [FILE], line 1, in <module>() from keras.layers import Merge ImportError: cannot import name 'Merge'",1
